Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
完成,かんせい,"1. complete, completion<br>2. perfection, accomplishment",N3,2,後は歌詞がまとまれば　<b>完成</b>だね,All that's left to do is get the lyrics together and it's complete.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
宝物,たからもの,"1. treasure, treasured item, prized possession",Unlabeled,2,♬～“<b>宝物</b>”がぴったりだね,♬~ “Treasure” is perfect.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
そっ,そう,"1. appearing that, seeming that, looking like, having the appearance of",Unlabeled,2,<b>そっ</b>か　私達に翼をくれたのは,"I see, the one who gave us wings is",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
急ぐ,いそぐ,"1. to hurry, to rush, to hasten, to make something happen sooner",N4,2,ほら　<b>急げ</b>急げ,"Hey, hurry, hurry",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
緊張,きんちょう,"1. tension, mental strain, nervousness",N3,2,今までで一番<b>緊張</b>してるよ,I'm the most nervous I've ever been,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
翼,つばさ,"1. wing<br>2. Chinese ""Wings"" constellation (one of the 28 mansions)<br>3. counter for birds or bird wings",N3,2,そっか　私達に<b>翼</b>をくれたのは,"I see, the one who gave us wings is",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
毎日,まいにち,1. every day,N5,2,♬～過ごしたね　ときめき色の<b>毎日</b>,♬～It was a thrilling day,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
終わり,おわり,1. the end,N4,2,♬～卒業は<b>終わり</b>じゃない,♬～Graduation is not the end,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ふわ,ふわ,"1. friction, discord, trouble, dissension, disagreement",Unlabeled,2,マシュマロみたいに<b>ふわ</b>☆ふわ,Fluffy like a marshmallow☆Fluffy,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
二人,ふたり,"1. two persons, two people, pair, couple",N5,2,♬～夢の中なら<b>二人</b>の距離,"♬～In a dream, the distance between us",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
