Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
グループ,グループ,1. group (usu. of people),N3,4,愛抱夢とは別<b>グループ</b>か,Is it a different group from Aidaimu?,#08 PART 宿命のトーナメント!.ja
タイム,タイム,1. time<br>2. thyme<br>3. time out (e.g. in sport),N1,4,カーラ　愛抱夢の<b>タイム</b>は？,"Kara, when is your love dream time?",#08 PART 宿命のトーナメント!.ja
させる,させる,Causative form,Unlabeled,4,やめ<b>させる</b>こともなかった,There was no way I could stop it.,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
兄ちゃん,にいちゃん,"1. (one's) older brother<br>2. young man, sonny, lad",Unlabeled,4,まあ　お<b>兄ちゃん</b>がかっこ悪いのは,"Well, the big brother is uncool.","#08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
おかげ,おかげ,"1. grace (of God), benevolence (of Buddha), blessing<br>2. assistance, help, aid<br>3. effects, influence",N4,4,リークしてくださった<b>おかげ</b>です,Thanks for leaking it,"#08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
対戦,たいせん,"1. fighting (against), taking on (an opponent), facing, confronting, competing (with), battle, fight, contest, match",Unlabeled,4,彼と<b>対戦</b>できる,you can play against him,"#08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
諦める,あきらめる,"1. to give up, to abandon (hope, plans), to resign oneself (to)",N3,4,ハナから<b>諦め</b>て　自分を慰めて！,Give up on Hana and console yourself!,"#09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
チーム,チーム,1. team,N3,4,んだと？お前らの<b>チーム</b>は,What? your team is,#10 PART 言葉のいらないDAP.ja
捨てる,すてる,"1. to throw away, to cast away, to dump, to discard<br>2. to abandon, to desert, to leave<br>3. to give up, to resign",N4,4,僕は　とうに<b>捨て</b>た,I gave up long ago,"#11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
ゾーン,ゾーン,1. zone,Unlabeled,4,Ｓで<b>ゾーン</b>に入るなんて自殺行為だ,Entering the zone with S is suicidal.,#12 PART 俺たちの無限大!.ja
くだる,くだる,"1. to descend, to go down, to come down<br>2. to be handed down (of an order, judgment, etc.)<br>3. to pass (of time)<br>4. to surrender, to capitulate<br>5. to be less than, to be inferior to<br>6. to have the runs, to have diarrhea<br>7. to pass (in stool), to be discharged from the body<br>8. to depreciate oneself, to be humble",Unlabeled,4,<b>くだら</b>ん！,That's nonsense!,#12 PART 俺たちの無限大!.ja
学校,がっこう,1. school,N5,3,あれは林間<b>学校</b>だ　ドアホ！,"That's a forest school, door ho!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja"
どれ,どれ,"1. which (of three or more)<br>2. well, now, c'mon",N5,3,でも　<b>どれ</b>も俺の幸せじゃない,But none of them are my happiness,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #09 PART あの時、俺たちは特別だった.ja"
あぶる,あぶる,"1. to warm (e.g. one's hands over a fire), to dry<br>2. to toast, to grill, to broil, to roast, to scorch",N2,3,うおっ　<b>あぶ</b>ねぇ！,"Oooh, that's dangerous!","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #07 PART つりあわねーんだよ.ja"
落ち着く,おちつく,"1. to calm down, to compose oneself, to regain presence of mind<br>2. to calm down, to settle down, to die down, to become stable, to abate<br>3. to settle down (in a location, job, etc.), to settle in<br>4. to be settled, to be fixed, to have been reached<br>5. to harmonize with, to harmonise with, to match, to suit, to fit<br>6. to be unobtrusive, to be quiet, to be subdued",Unlabeled,3,怖い　<b>落ち着か</b>ない,"Scary, restless","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja"
追いつける,追いつける,1. I can catch up (Auto-translated),Unlabeled,3,≪これじゃあ　<b>追いつけ</b>ねえ！,≪I can't catch up with this!,"#01 PART 熱い夜に雪が降る.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
くらう,くらう,"1. to eat, to drink, to wolf, to knock back<br>2. to receive (e.g. a blow)<br>3. to be on the receiving end (of something undesirable), to undergo (trouble)",Unlabeled,3,ラブハッグは　<b>くらわ</b>ない！,Love hugs don't cost anything!,"#01 PART 熱い夜に雪が降る.ja, #05 PART 情熱のダンシングNight!.ja, #11 PART キング VS ザコ.ja"
界,さかい,"1. border, boundary<br>2. turning point, watershed<br>3. area, region, spot, space, environment<br>4. psychological state, mental state<br>5. cognitive object, something perceptible by the sense organs or mind",Unlabeled,3,≪Ｓ<b>界</b>のアンチヒーロー！,≪Antihero of the S world!,"#01 PART 熱い夜に雪が降る.ja, #07 PART つりあわねーんだよ.ja"
腕,うで,"1. arm<br>2. skill, efforts, ability",N4,3,この<b>腕</b>を再起不能にしてやるのも,I'll make this arm unable to recover,#01 PART 熱い夜に雪が降る.ja
描く,えがく,"1. to draw, to paint, to sketch<br>2. to depict, to describe<br>3. to picture in one's mind, to imagine<br>4. to form a certain shape (e.g. path of an action, appearance of an object, etc.)",N3,3,<b>描い</b>てるわけね～だろ！,That's why I'm drawing it!,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
転校生,てんこうせい,"1. transfer student, student changing schools",Unlabeled,3,助かったよ　<b>転校生</b>！,"Thank you for your help, transfer student!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
紹介,しょうかい,"1. introduction, presentation, referral, listing",N4,3,転校生を<b>紹介</b>する,Introducing transfer students,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
日本語,にほんご,1. Japanese (language),Unlabeled,3,<b>日本語</b>　しゃべれないとか？,Can't speak Japanese?,"#01 PART 熱い夜に雪が降る.ja, #05 PART 情熱のダンシングNight!.ja"
日本人,にほんじん,"1. Japanese person, Japanese people",Unlabeled,3,いや　母親が<b>日本人</b>だから—,"No, because my mother is Japanese...",#01 PART 熱い夜に雪が降る.ja
いらっしゃる,いらっしゃる,"1. to come, to go, to be (somewhere)<br>2. to be (doing)",N4,3,<b>いらっしゃい</b>ませ,welcome,"#01 PART 熱い夜に雪が降る.ja, #05 PART 情熱のダンシングNight!.ja, #11 PART キング VS ザコ.ja"
歳,さい,1. -years-old,N1,3,って　２<b>歳</b>からかよ！,"I mean, from the age of 2!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #07 PART つりあわねーんだよ.ja"
時給,じきゅう,"1. hourly pay, hourly wage",Unlabeled,3,なるべく<b>時給</b>高いとこ,Where the hourly wage is as high as possible,#01 PART 熱い夜に雪が降る.ja
助かる,たすかる,"1. to be saved, to be rescued, to survive<br>2. to escape harm, to be spared damage<br>3. to be helped, to be saved trouble",N2,3,<b>助かっ</b>たよ　転校生！,"Thank you for your help, transfer student!","#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
立てる,たてる,"1. to stand up, to put up, to set up, to erect, to raise<br>2. to thrust into, to bury into, to dig into<br>3. to make (a noise), to start (a rumour), to raise (a cloud of dust, etc.), to cause<br>4. to make, to establish, to set up, to develop, to formulate<br>5. to put up (a political candidate), to make (one's leader)<br>6. to treat with respect, to give (someone) their due, to make (someone) look good, to avoid embarrassing (someone)<br>7. to sharpen, to make clear<br>8. to shut, to close<br>9. to make tea (matcha), to perform the tea ceremony<br>10. to divide by<br>11. to do ... vigorously",N4,3,お役に<b>立て</b>たなら　よかったです！,I'm glad I was able to help you!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #10 PART 言葉のいらないDAP.ja"
いくら,いくら,"1. how much<br>2. something over, and something, -odd<br>3. however (much), no matter how",N5,3,<b>いくら</b>なんでも無理っしょ,It's impossible no matter what,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja"
探す,さがす,"1. to search for, to look for, to hunt for, to seek<br>2. to search (a house, pocket, etc.), to search through, to rummage in (e.g. a drawer), to fish around",N4,3,かたきを<b>探し</b>てるのか？,Are you looking for someone?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
届ける,とどける,"1. to deliver, to forward, to send<br>2. to report, to notify, to file notice (to the authorities), to give notice, to register",N4,3,昼に<b>届け</b>ちゃダメなんですか？,Is it okay to deliver it in the afternoon?,#01 PART 熱い夜に雪が降る.ja
客,きゃく,"1. guest, visitor<br>2. customer, client, shopper, spectator, audience, tourist, sightseer, passenger<br>3. counter for containers used to entertain guests",N4,3,女性<b>客</b>にも好評でね,It's also popular with female customers.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
０,れい,"1. zero, nought",Unlabeled,3,時間は　あさっての夜<b>０</b>時,The time is midnight the next day,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
件,くだん,"1. the aforementioned, the said, (man, incident, etc.) in question, the above-mentioned, the aforesaid<br>2. the usual",N1,3,取り締まりの<b>件</b>ですが—,Regarding the crackdown...,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja, #11 PART キング VS ザコ.ja"
無用,むよう,"1. useless, futile<br>2. unnecessary, needless<br>3. not on business, unrelated, unauthorised, unauthorized<br>4. prohibited, banned, forbidden",N1,3,「Ｓ」は口外<b>無用</b>の,"""S"" is unnecessary","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja"
下,した,"1. below, down, under, younger (e.g. daughter)<br>2. bottom<br>3. beneath, underneath<br>4. just after, right after<br>5. inferiority, one's inferior (i.e. one's junior)<br>6. trade-in<br>7. preliminary, preparatory",N5,3,仮面の<b>下</b>に置いてきた！,I left it under the mask!,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja"
下りる,おりる,"1. to descend (e.g. a mountain), to go down, to come down<br>2. to alight (e.g. from bus), to get off, to disembark, to dismount<br>3. to step down, to retire, to give up, to quit, to fold<br>4. to be granted, to be issued, to be given<br>5. to form (of frost, dew, mist, etc.)<br>6. to be passed (from the body; e.g. of a roundworm)",N4,3,一気に滑り<b>下りる</b>,slide down at once,"#01 PART 熱い夜に雪が降る.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
アリ,アリ,Ari,Unlabeled,3,その間　攻撃　妨害　なんでも<b>アリ</b>,"During that time, attack, interference, anything is fine.","#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja"
必ず,かならず,"1. always, without exception, necessarily, certainly, without fail, positively, invariably",N4,3,僕は　また<b>必ず</b>君に会うよ,I'll definitely meet you again,"#01 PART 熱い夜に雪が降る.ja, #05 PART 情熱のダンシングNight!.ja, #09 PART あの時、俺たちは特別だった.ja"
もちろん,もちろん,"1. of course, certainly, naturally",N4,3,<b>もちろん</b>！,of course!,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja"
息子,むすこ,1. son<br>2. penis,N4,3,ちったぁ<b>息子</b>を信じろよ！,Just believe in your son!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja"
間に合う,まにあう,"1. to be in time (for)<br>2. to serve (suit, meet) the purpose, to be good enough, to be enough, to manage, to make do",N4,3,<b>間に合わ</b>ないけど,I won't make it in time though,"#01 PART 熱い夜に雪が降る.ja, #09 PART あの時、俺たちは特別だった.ja"
ひる,ひる,1. to dry,Unlabeled,3,<b>ひ</b>ゃっほ～！,Hiyaho!,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
プロ,プロ,1. professional,N3,3,<b>プロ</b>に調整を頼んだんだ,I asked a professional to adjust it.,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
あぁ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",Unlabeled,3,<b>あぁ</b>ああ～!?,Aaaaa~!?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja"
